"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:19:16 GMT 2025","Tue Mar 18 10:19:16 GMT 2025","379","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:19:08 GMT 2025","Tue Mar 18 10:19:09 GMT 2025","731","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:19:16 GMT 2025","Tue Mar 18 10:19:16 GMT 2025","44","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:19:23 GMT 2025","Tue Mar 18 10:19:24 GMT 2025","1192","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:19:15 GMT 2025","Tue Mar 18 10:19:16 GMT 2025","412","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:19:26 GMT 2025","Tue Mar 18 10:19:26 GMT 2025","898","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:19:09 GMT 2025","Tue Mar 18 10:19:10 GMT 2025","716","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:19:18 GMT 2025","Tue Mar 18 10:19:20 GMT 2025","1646","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:19:09 GMT 2025","Tue Mar 18 10:19:09 GMT 2025","34","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:19:13 GMT 2025","Tue Mar 18 10:19:13 GMT 2025","30","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:19:20 GMT 2025","Tue Mar 18 10:19:21 GMT 2025","836","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:19:07 GMT 2025","Tue Mar 18 10:19:08 GMT 2025","1615","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:19:24 GMT 2025","Tue Mar 18 10:19:25 GMT 2025","949","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:19:26 GMT 2025","Tue Mar 18 10:19:27 GMT 2025","822","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:19:12 GMT 2025","Tue Mar 18 10:19:13 GMT 2025","797","GET Products API tests","","","","","should successfully get products",""
